AA,Americinns
AB,Abba Hoteles
AC,Atel Hotels Network
AH,Aston Hotels and Resorts
AI,Armani Hotels
AK,Autograph Collection
AL,aloft Hotels
AM,Aramark
AN,A N A Hotels
AO,Atlantis
AP,Andre Balazs Hotels
AQ,Atahotels
AR,AC Hotels
AT,The Address Hotels
AV,Allegiance Hospitality Service
AZ,The Ascott Limited
BA,Boscolo Hotels
BC,Preferred Hotel Group
BG,Bulgari Hotels And Resorts
BH,Hawthorn Suites by Wyndham
BK,Interstate Htls/Rsrts
BN,Barcelo Hotels
BP,Shilo Inns
BR,Renaissance Hotels
BT,Boutique Hotels Desires
BU,Baymont Inns And Suites
BV,AmericasBestValue
BW,Best Western Intl
BX,Columbus Reservation Service
BY,Banyan Tree Hotels and Resorts
CA,Confortel Hoteles
CB,Classic British Hotels
CC,Clarion Hotels
CD,Concorde Hotels
CE,Chateaux et hotels collection
CI,Comfort Inn
CJ,Caesar Park Hotels
CK,Black Pepper Hotels
CM,Hotel Camino Real
CN,Conrad Hotels and Resorts
CP,Crowne Plaza Hotels
CQ,Club Quarters
CU,Charming Hotels and Resorts
CV,Como Hotels and Resorts
CX,Country Inns By Carlson
CY,Courtyard By Marriott
CZ,Comfort Suites
DC,Dorchester Collection
DD,Living Hotels
DE,Delta Hotels
DI,Days Inn
DN,Destination Hotels
DO,DorintResorts
DS,Design Hotels
DT,Doubletree Hotels
DV,De Vere Hotels
DW,Walt Disney Hotels
DX,Dolce Hotels and Resorts
EA,Extended Stay America
EB,Edition
EE,ExecuStay
EI,Executive Hotels And Resorts
EL,Element Hotels
EO,Econo Lodge
EP*,SABRE_EP*
EQ,Eaton Hotels
ER,Eden Hotel Group
ES,Embassy Suites
ET,Marriott Conference Center
EU,Exclusive Hotels
EZ,Cambria Suites
FA,Fairmont Hotels
FB,Fontainebleau Rst
FC,Rocco Forte Hotels
FG,FastBooking
FH,Fiesta Americana
FN,Fairfield Inn
FS,Four Seasons Hotels
GA,GLOBAL ALLIANCE
GB,Macdonald Hotels Group
GE,Gaylord Entertainment
GF,Global Hospitality Services
GH,Grand Heritage
GI,Hilton Garden Inn
GM,Meritus Hotels
GO,Guesthouse International
GP,HUSA Hoteles
GQ,Genre Hotels
GR,Six Senses Resorts and Spas
GT,Golden Tulip Hotels
GW,Great Hotels Of The World
GX,Global Conextions
GZ,Genares Resrv Svc
HA,Hotusa
HD,Hotelred
HE,Historic Hotels
HG,Homewood Suites By Hilton
HH,Hilton Hotels
HI,Holiday Inn
HJ,Howard Johnson
HL,Hilton International
HM,Missoni
HO,HotelRez
HR,Harrahs Casinos
HT,Home2Suites
HU,Hyatt Vacations
HX,Hampton Inn
HY,Hyatt Hotels And Resorts
IA,Corinthia Hotels and Resorts
IC,Intercontinental Hotels
IH,Classic International Hotels
IM,Independent Htls
IN,Hotel Indigo
IP,Innpoints
IQ,MyFidelio
IR,InnPoints Reserv
IS,Ian Schrager
IV,Innvite
IW,Hotels and Preference
JD,The Doyle Collection
JG,JG Black Book of Travel
JH,Jolly Hotels
JI,Jurys Inns
JJ,Jin Jiang Hotels
JT,Jumeirah
JV,Joie De Vivre Hospitality
KC,Kimpton Hotels
KG,Knights Inn
KH,K Hotels
KI,Kempinski Hotels
KL,Clubhouse Inns
KO,Ksl Resorts
KY,Keytel
LB,Lebua Hotels and Resorts
LC,Luxury Collection
LD,Leonardo Hotels
LE,Luxe Worldwide Hotels
LG,Lindner Hotels and Resorts
LJ,The Lalit
LM,Vantis Hotel Group
LO,Langham Hotels International
LP,Lexington Collection
LQ,La Quinta Inns Inc
LW,Leading Hotels Of The World
LX,Small Luxury Hotels of the World
LZ,Loews Hotels
MC,Marriott Hotels
MD,Le Meridien
ME,Sol Melia Hotels
MG,Magnolia Hotels
MH,Marco Polo Hotels
MI,Malmaison Htl Grp
MK,Moevenpick Hotels And Resorts
MM,Maritim Hotels
MN,Montage Hotels and Resorts
MO,Mandarin Oriental Hotels
MP,Mantra Group
